ID,Date Reported,Date Occured,Area Name,Victim Age,Victim Sex,Victim Descent,Location,Latitude,Longitude,Criminal Activities,Criminal Activities grped,Criminal Activities re-grped,
392,31/10/2010,30/10/2010,Central,34,F,H,FIGUEROA                     ST,34.0598,-118.2485,Theft,Property Crime,Non-Violent Crimes,0.999725843
585,12/01/2010,10/01/2010,Central,26,M,A,800    ALPINE                       ST,34.0637,-118.244,Theft,Property Crime,Non-Violent Crimes,0.999245893
7343,16/01/2010,15/01/2010,Rampart,64,F,W,2ND,34.0605,-118.2582,Theft,Property Crime,Non-Violent Crimes,0.999282201
8155,20/02/2010,19/02/2010,Rampart,33,M,W,1200    MIRAMAR                      ST,34.0572,-118.2576,Theft,Property Crime,Non-Violent Crimes,0.999461157
8396,02/03/2010,01/03/2010,Rampart,27,F,W,2400 W  SUNSET                       BL,34.0788,-118.2681,Theft,Property Crime,Non-Violent Crimes,0.999606913
8819,20/03/2010,20/03/2010,Rampart,25,M,H,1400 W  3RD                          ST,34.0583,-118.2616,Battery Crime,Bodily Harm,Violent Crimes,0.999932968
8939,24/03/2010,24/03/2010,Rampart,17,M,H,1300 S  UNION                        AV,34.0446,-118.2769,Assault,Bodily Harm,Violent Crimes,0.999850953
10204,16/05/2010,16/05/2010,Rampart,20,F,H,600 N  ALVARADO                     ST,34.0729,-118.2664,Battery Crime,Bodily Harm,Violent Crimes,0.999371092
10928,14/06/2010,14/06/2010,Rampart,46,F,W,700 N  NORMANDIE                    AV,34.0836,-118.3005,Battery Crime,Bodily Harm,Violent Crimes,0.999810213
11530,12/07/2010,12/07/2010,Rampart,33,M,H,600 S  BURLINGTON                   AV,34.058,-118.2715,Battery Crime,Bodily Harm,Violent Crimes,0.999196041
11828,25/07/2010,24/07/2010,Rampart,2,M,H,LUCAS                        AV,34.0609,-118.26,Battery Crime,Bodily Harm,Violent Crimes,0.999366565
12551,28/08/2010,28/08/2010,Rampart,40,F,H,500 S  WESTLAKE                     AV,34.0598,-118.2731,Assault,Bodily Harm,Violent Crimes,0.999617595
12839,10/09/2010,08/09/2010,Rampart,41,M,W,6TH                          ST,34.0573,-118.2691,Battery Crime,Bodily Harm,Violent Crimes,0.999476855
13376,05/10/2010,03/09/2010,Rampart,63,F,H,600 N  VIRGIL                       AV,34.0818,-118.2868,Theft,Property Crime,Non-Violent Crimes,0.999827642
13824,23/10/2010,23/10/2010,Rampart,24,M,H,MELROSE,34.0836,-118.2917,Robbery,Robbery,Violent Crimes,0.999991127
14177,07/11/2010,06/11/2010,Rampart,51,F,H,1000 N  BONNIE BRAE                  ST,34.0759,-118.263,Battery Crime,Bodily Harm,Violent Crimes,0.999920487
15600,08/05/2010,08/05/2010,Southwest,17,M,B,VERMONT,34.0109,-118.2915,Robbery,Robbery,Violent Crimes,0.999217788
21600,16/06/2010,04/06/2010,Southwest,28,F,H,1100 W  41ST                         PL,34.0082,-118.2941,Theft,Property Crime,Non-Violent Crimes,0.9990875
21672,19/06/2010,19/06/2010,Southwest,18,M,H,3800 S  GRAMERCY                     PL,34.0174,-118.3132,Robbery,Robbery,Violent Crimes,0.999956673
22542,12/07/2010,12/07/2010,Southwest,20,F,B,1600 W  MARTIN LUTHER KING JR        BL,34.0109,-118.3067,Theft,Property Crime,Non-Violent Crimes,0.999780102
23156,27/07/2010,27/07/2010,Southwest,52,M,H,3700    SANTA ROSALIA                DR,34.0072,-118.3373,Theft,Property Crime,Non-Violent Crimes,0.999789065
23580,09/08/2010,09/08/2010,Southwest,13,M,H,4100 S  VERMONT                      AV,34.0091,-118.2915,Robbery,Robbery,Violent Crimes,0.999138298
23936,20/08/2010,20/08/2010,Southwest,26,M,H,3500 S  LA CIENEGA                   BL,34.0242,-118.3722,Theft,Property Crime,Non-Violent Crimes,0.999372462
26238,28/10/2010,27/10/2010,Southwest,24,F,H,4000    CRENSHAW                     BL,34.0124,-118.3351,Theft,Property Crime,Non-Violent Crimes,0.999732799
26495,03/11/2010,01/08/2010,Southwest,34,M,B,3800 W  27TH                         ST,34.0312,-118.3262,Theft,Property Crime,Non-Violent Crimes,0.99921766
26727,10/11/2010,10/11/2010,Southwest,46,F,H,2800    WESTVIEW,34.0382,-118.5385,Assault,Bodily Harm,Violent Crimes,0.99964017
27935,14/12/2010,14/12/2010,Southwest,54,M,B,1800 W  38TH                         PL,34.0165,-118.3132,Robbery,Robbery,Violent Crimes,0.999795734
31318,08/05/2010,08/05/2010,Hollenbeck,28,F,H,4500    VALLEY                       BL,34.0747,-118.1619,Robbery,Robbery,Violent Crimes,0.999371702
36718,01/11/2010,31/10/2010,Harbor,18,F,H,800    BAYVIEW                      AV,33.7796,-118.2699,Assault,Bodily Harm,Violent Crimes,0.999010486
39382,26/04/2010,23/04/2010,Harbor,43,M,O,900 W  BASIN                        ST,33.7555,-118.2967,Theft,Property Crime,Non-Violent Crimes,0.9999068
41310,22/07/2010,22/07/2010,Harbor,18,M,H,1500    NEPTUNE                      AV,33.793,-118.2699,Battery Crime,Bodily Harm,Violent Crimes,0.999173369
42346,11/09/2010,10/09/2010,Harbor,68,F,W,1200 W  16TH                         ST,33.7297,-118.3034,Theft,Property Crime,Non-Violent Crimes,0.999052109
44265,09/12/2010,09/12/2010,Harbor,58,F,W,1600 W  27TH                         ST,33.7225,-118.3146,Theft,Property Crime,Non-Violent Crimes,0.999451239
46473,02/03/2010,02/03/2010,Hollywood,33,F,H,5000    MELROSE                      AV,34.0835,-118.3091,Theft,Property Crime,Non-Violent Crimes,0.999031813
46996,25/03/2010,24/03/2010,Hollywood,42,M,H,6100    FOUNTAIN                     AV,34.0944,-118.3223,Theft,Property Crime,Non-Violent Crimes,0.999867782
49003,18/06/2010,18/06/2010,Hollywood,25,F,H,HOLLYWOOD,34.1016,-118.3267,Assault,Bodily Harm,Violent Crimes,0.999554719
50002,22/07/2010,22/07/2010,Hollywood,28,M,O,HOLLYWOOD,34.1035,-118.318,Robbery,Robbery,Violent Crimes,0.999585769
50898,01/09/2010,01/09/2010,Hollywood,60,M,W,9200    KINGLET                      DR,34.1022,-118.3891,Assault,Bodily Harm,Violent Crimes,0.999748453
54087,05/11/2010,04/11/2010,Wilshire,44,F,K,500 N  HIGHLAND                     AV,34.0803,-118.3386,Theft,Property Crime,Non-Violent Crimes,0.999199842
54383,13/01/2010,13/01/2010,Wilshire,29,M,A,600 S  LA BREA                      AV,34.0649,-118.344,Theft,Property Crime,Non-Violent Crimes,0.999348107
54396,15/01/2010,14/01/2010,Wilshire,31,M,A,1600    6TH                          AV,34.0436,-118.3237,Theft,Property Crime,Non-Violent Crimes,0.999038556
54616,25/01/2010,09/01/2010,Wilshire,27,F,H,8700    BEVERLY                      BL,34.0763,-118.3778,Theft,Property Crime,Non-Violent Crimes,0.999872399
55497,11/03/2010,11/03/2010,Wilshire,40,M,W,CADILLAC                     AV,34.0375,-118.3742,Robbery,Robbery,Violent Crimes,0.999917729
55592,15/03/2010,14/03/2010,Wilshire,66,F,W,900 S  MUIRFIELD                    RD,34.059,-118.3304,Theft,Property Crime,Non-Violent Crimes,0.999489002
56902,19/05/2010,16/05/2010,Wilshire,28,M,B,WASHINGTON,34.0399,-118.3311,Kidnapping,Abduction,Violent Crimes,0.999712621
57080,28/05/2010,27/05/2010,Wilshire,32,M,W,200 S  LA BREA                      AV,34.0711,-118.344,Theft,Property Crime,Non-Violent Crimes,0.999529761
58969,30/08/2010,29/08/2010,Wilshire,55,M,O,800 N  MC CADDEN                    PL,34.0853,-118.3374,Theft,Property Crime,Non-Violent Crimes,0.999686723
61911,22/06/2010,22/06/2010,West LA,27,M,H,10200    SANTA MONICA                 BL,34.0605,-118.4193,Theft,Property Crime,Non-Violent Crimes,0.999792416
62978,16/02/2010,06/02/2010,West LA,69,M,V,400 S  BARRINGTON                   AV,34.0611,-118.4684,Battery Crime,Bodily Harm,Violent Crimes,0.999156559
63805,31/03/2010,30/03/2010,West LA,21,M,W,10200    SANTA MONICA                 BL,34.0605,-118.4193,Theft,Property Crime,Non-Violent Crimes,0.99949763
64586,14/05/2010,14/05/2010,West LA,49,M,W,1400    BUTLER                       AV,34.0484,-118.4544,Theft,Property Crime,Non-Violent Crimes,0.999280197
64618,14/05/2010,14/05/2010,West LA,24,F,W,1200    MCCLELLAN                    DR,34.0423,-118.4697,Theft,Property Crime,Non-Violent Crimes,0.999597187
68040,06/11/2010,04/11/2010,West LA,34,M,W,2500 S  SEPULVEDA                    BL,34.0352,-118.4341,Theft,Property Crime,Non-Violent Crimes,0.999491845
70496,02/02/2010,25/01/2010,Van Nuys,22,M,W,13800    OXNARD                       ST,34.1794,-118.4334,Theft,Property Crime,Non-Violent Crimes,0.99968352
71177,28/02/2010,28/02/2010,Van Nuys,22,F,H,4900    SALOMA                       AV,34.1582,-118.4591,Assault,Bodily Harm,Violent Crimes,0.999568709
71272,04/03/2010,04/03/2010,Van Nuys,57,F,F,15000    SHERMAN                      WY,34.2012,-118.4596,Assault,Bodily Harm,Violent Crimes,0.99910139
74251,19/06/2010,19/06/2010,Van Nuys,40,F,W,4400    HAZELTINE                    AV,34.1505,-118.44,Theft,Property Crime,Non-Violent Crimes,0.999546953
83314,28/06/2010,05/06/2010,West Valley,40,F,H,17800    HEMMINGWAY                   ST,34.2134,-118.5215,Assault,Bodily Harm,Violent Crimes,0.999970972
83744,17/07/2010,16/07/2010,West Valley,64,F,A,17800    BURTON                       ST,34.2201,-118.5214,Theft,Property Crime,Non-Violent Crimes,0.99977822
89737,05/03/2010,04/03/2010,Northeast,31,M,O,2900    PARTRIDGE                    AV,34.1047,-118.2469,Theft,Property Crime,Non-Violent Crimes,0.99932878
