ID,Date Reported,Date Occured,Area Name,Victim Age,Victim Sex,Victim Descent,Location,Latitude,Longitude,Criminal Activities,Criminal Activities grped,Criminal Activities re-grped,
5,05/01/2010,2010-01-04,Central,23,M,B,700 W  7TH                          ST,34.048,-118.2577,Theft,Property Crime,Non-Violent Crimes,0.996459032
228,18/06/2010,2010-06-17,Central,40,M,W,1100 S  FIGUEROA                     ST,34.0437,-118.2652,Theft,Property Crime,Non-Violent Crimes,0.993467813
392,31/10/2010,2010-10-30,Central,34,F,H,FIGUEROA                     ST,34.0598,-118.2485,Theft,Property Crime,Non-Violent Crimes,0.999725843
585,12/01/2010,2010-01-10,Central,26,M,A,800    ALPINE                       ST,34.0637,-118.244,Theft,Property Crime,Non-Violent Crimes,0.999245893
632,13/01/2010,2010-01-13,Central,23,F,H,7TH                          ST,34.0487,-118.2588,Battery Crime,Bodily Harm,Violent Crimes,0.996291089
787,24/01/2010,2010-01-24,Central,52,M,W,8TH                          ST,34.0487,-118.2627,Theft,Property Crime,Non-Violent Crimes,0.995881292
1086,11/02/2010,2010-02-11,Central,48,F,H,500    SAN JULIAN                   ST,34.0446,-118.245,Assault,Bodily Harm,Violent Crimes,0.997214357
1630,17/03/2010,2010-03-17,Central,74,F,O,BROADWAY,34.0673,-118.2354,Robbery,Robbery,Violent Crimes,0.997328576
2117,14/04/2010,2010-04-14,Central,41,M,O,200 E  14TH                         ST,34.0347,-118.2602,Theft,Property Crime,Non-Violent Crimes,0.992354581
2158,17/04/2010,2010-04-17,Central,9,M,O,1ST,34.0522,-118.2434,Battery Crime,Bodily Harm,Violent Crimes,0.998978566
2196,19/04/2010,2010-04-19,Central,40,M,H,300 S  SPRING                       ST,34.0503,-118.247,Assault,Bodily Harm,Violent Crimes,0.991944431
2551,09/05/2010,2010-05-09,Central,12,M,H,1400    WRIGHT                       ST,34.0398,-118.2726,Battery Crime,Bodily Harm,Violent Crimes,0.996975018
2684,17/05/2010,2010-05-15,Central,19,M,H,100 W  3RD                          ST,34.0496,-118.2458,Battery Crime,Bodily Harm,Violent Crimes,0.992050025
3579,01/07/2010,2010-07-01,Central,53,M,H,5TH,34.0435,-118.2427,Battery Crime,Bodily Harm,Violent Crimes,0.990771896
3758,10/07/2010,2010-07-09,Central,26,M,O,300 W  8TH                          ST,34.0438,-118.2547,Theft,Property Crime,Non-Violent Crimes,0.99523542
3841,15/07/2010,2010-01-03,Central,15,F,H,SPRING,34.0661,-118.2334,Rape,Rape,Violent Crimes,0.995180238
3865,16/07/2010,2010-07-16,Central,23,M,O,5TH,34.0478,-118.2502,Battery Crime,Bodily Harm,Violent Crimes,0.996848627
4081,29/07/2010,2010-07-25,Central,35,F,W,900 N  BROADWAY,34.064,-118.2375,Theft,Property Crime,Non-Violent Crimes,0.992155275
5005,18/09/2010,2010-09-18,Central,23,M,H,400 S  BROADWAY,34.0495,-118.2494,Theft,Property Crime,Non-Violent Crimes,0.995886422
5073,22/09/2010,2010-03-01,Central,54,F,B,5TH,34.0442,-118.2439,Theft,Property Crime,Non-Violent Crimes,0.990424622
5169,26/09/2010,2010-09-26,Central,58,M,B,700 S  OLIVE                        ST,34.0467,-118.2556,Assault,Bodily Harm,Violent Crimes,0.995632471
5622,19/10/2010,2010-10-18,Central,32,M,B,900 N  HILL                         ST,34.0644,-118.2387,Theft,Property Crime,Non-Violent Crimes,0.991667208
6010,07/11/2010,2010-11-07,Central,38,M,O,800 N  BROADWAY,34.0623,-118.2383,Battery Crime,Bodily Harm,Violent Crimes,0.99095581
6363,30/11/2010,2010-11-30,Central,27,M,H,HILL                         ST,34.0474,-118.2531,Battery Crime,Bodily Harm,Violent Crimes,0.993393179
6514,09/12/2010,2010-12-09,Central,28,M,H,100 W  WASHINGTON                   BL,34.0311,-118.2646,Assault,Bodily Harm,Violent Crimes,0.990876239
6546,10/12/2010,2010-12-09,Central,33,M,B,5TH                          ST,34.0446,-118.245,Assault,Bodily Harm,Violent Crimes,0.991602985
7036,20/10/2010,2010-10-15,Rampart,21,F,A,1200 W  7TH                          ST,34.0515,-118.2658,Rape,Rape,Violent Crimes,0.997527111
