ID,Date Reported,Date Occured,Area Name,Victim Age,Victim Sex,Victim Descent,Location,Latitude,Longitude,Criminal Activities,Criminal Activities grped,Criminal Activities re-grped,
89,2010-03-24,2010-03-24,Central,58,M,H,5TH,34.0446,-118.245,Battery Crime,Bodily Harm,Violent Crimes,0.997558349
319,2010-08-12,2010-08-11,Central,23,F,H,700 W  7TH                          ST,34.048,-118.2577,Theft,Property Crime,Non-Violent Crimes,0.990101566
456,2010-01-01,2010-01-01,Central,30,F,B,4TH                          ST,34.0503,-118.2506,Theft,Property Crime,Non-Violent Crimes,0.99969127
461,2010-01-02,2010-01-01,Central,30,F,B,800    TRACTION                     AV,34.0454,-118.236,Theft,Property Crime,Non-Violent Crimes,0.995095035
486,2010-01-03,2010-01-03,Central,30,M,H,6TH                          ST,34.0467,-118.252,Battery Crime,Bodily Harm,Violent Crimes,0.998814864
645,2010-01-12,2010-01-12,Central,54,F,W,100 E  5TH                          ST,34.0467,-118.2485,Battery Crime,Bodily Harm,Violent Crimes,0.99631676
653,2010-01-14,2010-01-13,Central,32,F,H,600 N  HILL                         ST,34.0591,-118.2412,Theft,Property Crime,Non-Violent Crimes,0.999311921
792,2010-01-23,2010-01-22,Central,49,F,A,800    BUNKER HILL                  AV,34.0637,-118.244,Theft,Property Crime,Non-Violent Crimes,0.993047649
979,2010-02-04,2010-02-04,Central,22,F,H,17TH                         ST,34.0349,-118.2669,Battery Crime,Bodily Harm,Violent Crimes,0.997703949
1835,2010-03-28,2010-03-28,Central,30,F,H,1300 S  HOPE                         ST,34.0395,-118.2656,Assault,Bodily Harm,Violent Crimes,0.991521643
2042,2010-04-09,2010-04-09,Central,30,M,B,100 E  9TH                          ST,34.0416,-118.255,Theft,Property Crime,Non-Violent Crimes,0.994478718
2150,2010-04-17,2010-04-01,Central,43,F,W,300 E  5TH                          ST,34.0449,-118.2458,Battery Crime,Bodily Harm,Violent Crimes,0.990526476
2243,2010-04-21,2010-04-21,Central,19,F,W,1000 S  LOS ANGELES                  ST,34.0396,-118.2558,Theft,Property Crime,Non-Violent Crimes,0.991202586
2412,2010-05-02,2010-05-01,Central,31,M,H,500 S  OLIVE                        ST,34.0495,-118.2529,Assault,Bodily Harm,Violent Crimes,0.999551672
2431,2010-05-02,2010-05-02,Central,19,M,H,400 S  BROADWAY,34.0495,-118.2494,Theft,Property Crime,Non-Violent Crimes,0.992160123
