ID,Date Reported,Date Occured,Area Name,Victim Age,Victim Sex,Victim Descent,Location,Latitude,Longitude,Criminal Activities,Criminal Activities grped,Criminal Activities re-grped,
25,2010-02-01,2010-01-31,Central,50,M,B,200 W  6TH                          ST,34.046,-118.2509,Assault,Bodily Harm,Violent Crimes,0.992127097
153,2010-05-07,2010-05-06,Central,23,M,B,900 E  6TH                          ST,34.0398,-118.2413,Assault,Bodily Harm,Violent Crimes,0.99765785
375,2010-10-15,2010-10-14,Central,41,M,H,6TH                          ST,34.0403,-118.2421,Assault,Bodily Harm,Violent Crimes,0.995801694
400,2010-11-11,2010-11-09,Central,45,M,H,500    SAN JULIAN                   ST,34.0446,-118.245,Assault,Bodily Harm,Violent Crimes,0.991698011
554,2010-01-08,2010-01-07,Central,57,M,O,500 S  MAIN                         ST,34.0467,-118.2485,Theft,Property Crime,Non-Violent Crimes,0.997360271
674,2010-01-16,2010-01-15,Central,43,F,O,1000 S  HILL                         ST,34.0416,-118.2584,Theft,Property Crime,Non-Violent Crimes,0.995900948
959,2010-02-03,2010-02-02,Central,19,M,B,6TH                          ST,34.0398,-118.2413,Battery Crime,Bodily Harm,Violent Crimes,0.99092125
1015,2010-02-06,2010-02-06,Central,23,F,H,700 W  7TH                          ST,34.048,-118.2577,Theft,Property Crime,Non-Violent Crimes,0.999960166
1064,2010-02-09,2010-02-08,Central,44,F,H,1100    SANTEE                       ST,34.0378,-118.2561,Battery Crime,Bodily Harm,Violent Crimes,0.99238296
1069,2010-02-09,2010-02-09,Central,23,M,B,700 W  7TH                          ST,34.048,-118.2577,Theft,Property Crime,Non-Violent Crimes,0.997023163
1204,2010-02-18,2010-02-18,Central,32,F,W,SAN JULIAN,34.0412,-118.2474,Battery Crime,Bodily Harm,Violent Crimes,0.998610867
1309,2010-02-25,2010-01-11,Central,32,M,O,500 S  HILL                         ST,34.0488,-118.2518,Embezzlement,Property Crime,Non-Violent Crimes,0.991863889
1342,2010-02-27,2010-02-27,Central,43,F,H,700    WALL                         ST,34.0419,-118.2485,Theft,Property Crime,Non-Violent Crimes,0.991049341
1425,2010-03-04,2010-03-04,Central,37,M,H,HILL,34.032,-118.2657,Theft,Property Crime,Non-Violent Crimes,0.99729898
1550,2010-03-13,2010-03-12,Central,34,M,H,6TH,34.0423,-118.2452,Assault,Bodily Harm,Violent Crimes,0.991031094
1570,2010-03-13,2010-03-12,Central,51,M,B,500    WALL                         ST,34.0449,-118.2458,Theft,Property Crime,Non-Violent Crimes,0.991165932
1602,2010-03-15,2010-03-15,Central,44,M,W,5TH                          ST,34.0481,-118.2507,Theft,Property Crime,Non-Violent Crimes,0.993617388
1713,2010-03-21,2010-03-21,Central,30,M,H,4TH                          ST,34.0151,-118.4936,Assault,Bodily Harm,Violent Crimes,0.990323361
1736,2010-03-23,2010-03-23,Central,25,M,H,1200    SANTEE                       ST,34.0363,-118.2573,Assault,Bodily Harm,Violent Crimes,0.995846171
1925,2010-04-02,2010-04-02,Central,52,M,B,9TH,34.0373,-118.2503,Battery Crime,Bodily Harm,Violent Crimes,0.996826533
2093,2010-04-13,2010-02-01,Central,49,F,W,400 W  7TH                          ST,34.0459,-118.2545,Fraud,White Collar Crime,Non-Violent Crimes,0.990094277
2165,2010-04-17,2010-04-17,Central,25,M,W,200 W  TEMPLE                       ST,34.0549,-118.2426,Assault,Bodily Harm,Violent Crimes,0.999247673
2314,2010-04-26,2010-04-26,Central,46,F,H,CESAR E CHAVEZ,34.0583,-118.2378,Battery Crime,Bodily Harm,Violent Crimes,0.99628707
2946,2010-05-31,2010-05-31,Central,17,M,H,5TH,34.0442,-118.2439,Robbery,Robbery,Violent Crimes,0.9974046
2991,2010-06-03,2010-06-02,Central,48,F,B,4TH,34.0439,-118.2399,Battery Crime,Bodily Harm,Violent Crimes,0.995530007
3621,2010-07-03,2010-07-03,Central,46,M,B,5TH,34.0464,-118.248,Robbery,Robbery,Violent Crimes,0.997921812
3916,2010-07-19,2010-07-19,Central,50,M,H,600 W  9TH                          ST,34.0451,-118.2604,Theft,Property Crime,Non-Violent Crimes,0.992739449
3962,2010-07-21,2010-07-21,Central,49,M,W,500 S  SAN PEDRO                    ST,34.0442,-118.2439,Robbery,Robbery,Violent Crimes,0.996618957
4379,2010-08-14,2010-08-14,Central,22,F,B,7TH,34.0407,-118.2468,Assault,Bodily Harm,Violent Crimes,0.99905428
4495,2010-08-21,2010-08-18,Central,37,M,W,1100 S  HOPE                         ST,34.0423,-118.2631,Theft,Property Crime,Non-Violent Crimes,0.997021898
4661,2010-08-30,2010-08-30,Central,23,M,H,HILL,34.032,-118.2657,Assault,Bodily Harm,Violent Crimes,0.999432538
4695,2010-08-31,2010-08-28,Central,49,F,W,1200 S  FIGUEROA                     ST,34.0423,-118.2666,Theft,Property Crime,Non-Violent Crimes,0.993482086
4719,2010-09-01,2010-09-01,Central,66,F,H,400    WALL                         ST,34.0464,-118.2447,Battery Crime,Bodily Harm,Violent Crimes,0.999736588
